City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Cape Town,ZA,60.01,light rain,-33.93,18.42,Southern Sun Waterfront Cape Town
18,Sobolevo,RU,61.16,light rain,54.43,31.9,
36,Sfantu Gheorghe,RO,55.99,light rain,45.87,25.78,Hotel Park Sfantu Gheorghe
45,Hermanus,ZA,57.0,light rain,-34.42,19.23,Misty Waves Boutique Hotel
85,Jamestown,US,69.01,moderate rain,42.1,-79.24,Hampton Inn & Suites Jamestown
97,Ketchikan,US,51.8,moderate rain,55.34,-131.65,Snows Cove Lodge
112,Bluff,NZ,47.32,light rain,-46.6,168.33,Bluff Homestead - Guesthouse & Campervan Park
118,Buy,RU,61.7,light rain,58.48,41.53,Hotel Variant C
134,Bedele,ET,60.04,light rain,8.46,36.35,Central Hotel
164,Dharchula,IN,63.52,light rain,29.85,80.53,Mahara Hotel
176,Chitral,PK,69.67,light rain,35.85,71.79,PTDC Motel Chitral
224,Pastavy,BY,63.75,light rain,55.12,26.83,"Общежитие УО ""Поставский государственный колледж"""
228,Ancud,CL,50.0,light rain,-41.87,-73.82,HOTEL ANCUD DON LUCAS
262,Nefteyugansk,RU,59.0,light rain,61.1,72.6,Royal Plaza
266,Ust-Nera,RU,48.4,light rain,64.57,143.2,Hotel Ust-Nera
272,Launceston,AU,50.0,light rain,-41.45,147.17,Hotel Grand Chancellor Launceston
274,Vardo,NO,48.2,light rain,70.37,31.11,Vardø Hotel AS
320,Ahipara,NZ,60.28,light rain,-35.17,173.17,Ahipara Holiday Park
379,Tulu Bolo,ET,63.59,light rain,8.67,38.22,Kiya Sime Hotel
410,Umba,RU,50.04,light rain,66.69,34.34,Cedar Grass Beloye More
435,Lashio,MM,66.09,light rain,22.93,97.75,Hotel CF Lashio - Burmese Only
455,Ratne,UA,61.77,moderate rain,51.67,24.53,Гостинна садиба «У Коріня»
461,Asau,RO,57.0,light rain,46.43,26.4,Casa Mika Ciobanus
520,Dzhebariki-Khaya,RU,47.43,light rain,62.22,135.8,
549,Bako,ET,67.19,light rain,5.78,36.57,Arkisha Sefer
561,Gimbi,ET,61.72,moderate rain,9.17,35.83,Sam home
