City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Inhambane,MZ,-23.86,35.38,75.2,41,20,8.05,few clouds
1,Karpathos,GR,35.51,27.21,68.0,60,40,21.92,scattered clouds
2,Busselton,AU,-33.65,115.33,62.01,74,33,18.5,light rain
3,Ambilobe,MG,-13.2,49.05,74.25,84,0,1.77,clear sky
4,Port-Gentil,GA,-0.72,8.78,86.0,74,40,18.34,scattered clouds
5,Ushuaia,AR,-54.8,-68.3,39.2,69,99,9.17,overcast clouds
6,Tuktoyaktuk,CA,69.45,-133.04,37.4,74,20,9.17,few clouds
7,Esperance,AU,-33.87,121.9,59.0,62,0,16.11,clear sky
8,Port Macquarie,AU,-31.43,152.92,55.4,100,10,3.36,clear sky
9,Sola,VU,-13.88,167.55,80.73,83,59,17.58,broken clouds
10,Hofn,IS,64.25,-15.21,50.0,87,90,12.75,overcast clouds
11,Lata,PT,40.16,-8.33,89.01,41,0,2.17,clear sky
12,Airai,TL,-8.93,125.41,59.5,100,49,2.13,scattered clouds
13,Aklavik,CA,68.22,-135.01,46.4,68,20,2.24,few clouds
14,Yellowknife,CA,62.46,-114.35,39.2,51,20,8.05,few clouds
15,Ivanishchi,RU,55.77,40.43,66.88,60,69,2.53,broken clouds
16,Reykjavik,IS,64.14,-21.9,53.6,81,75,20.8,broken clouds
17,Atuona,PF,-9.8,-139.03,80.64,70,7,11.25,clear sky
18,Nouadhibou,MR,20.93,-17.03,78.8,57,0,19.46,clear sky
19,Mataura,NZ,-46.19,168.86,42.15,95,63,2.66,broken clouds
20,Lorengau,PG,-2.02,147.27,80.31,83,100,6.93,light rain
21,Fortuna,US,40.6,-124.16,57.0,100,90,3.36,overcast clouds
22,Balgazyn,RU,51.0,95.2,43.88,59,70,8.99,broken clouds
23,Kahului,US,20.89,-156.47,71.01,68,1,3.36,clear sky
24,Rikitea,PF,-23.12,-134.97,76.37,85,76,10.71,light rain
25,Camacha,PT,33.08,-16.33,71.6,64,20,13.87,few clouds
26,College,US,64.86,-147.8,52.0,61,75,3.36,broken clouds
27,Havelock,US,34.88,-76.9,77.0,83,75,10.29,light rain
28,Henties Bay,NA,-22.12,14.28,61.0,83,0,9.28,clear sky
29,Carutapera,BR,-1.2,-46.02,88.36,59,32,8.19,scattered clouds
30,Broome,US,42.25,-75.83,73.99,77,90,14.99,overcast clouds
31,Olinda,BR,-8.01,-34.86,87.8,70,40,8.05,scattered clouds
32,Ribeira Grande,PT,38.52,-28.7,66.2,52,40,12.75,scattered clouds
33,Luxor,EG,25.7,32.64,96.8,19,0,16.11,clear sky
34,Thompson,CA,55.74,-97.86,33.8,92,90,10.29,light rain
35,Aitape,PG,-3.14,142.35,76.6,91,100,16.93,heavy intensity rain
36,Ishigaki,JP,24.34,124.16,80.33,84,29,12.41,scattered clouds
37,Bengkulu,ID,-3.8,102.27,78.21,88,100,4.56,light rain
38,Poum,NC,-20.23,164.02,75.67,78,67,11.45,broken clouds
39,Sorland,NO,67.67,12.69,44.6,81,75,11.41,shower rain
40,Sitka,US,57.05,-135.33,55.4,50,90,23.04,light rain
41,Southbridge,US,42.08,-72.03,73.0,90,100,8.95,overcast clouds
42,Albany,US,42.6,-73.97,77.0,65,80,1.99,broken clouds
43,Kargat,RU,55.2,80.28,55.27,69,18,3.96,few clouds
44,Merauke,ID,-8.47,140.33,77.0,86,52,12.12,broken clouds
45,Camacupa,AO,-12.02,17.48,80.26,33,79,4.23,broken clouds
46,Bandarbeyla,SO,9.49,50.81,83.07,76,98,26.75,overcast clouds
47,New Norfolk,AU,-42.78,147.06,53.01,81,93,1.01,overcast clouds
48,Millinocket,US,45.66,-68.71,78.8,61,1,6.93,clear sky
49,Nikolskoye,RU,59.7,30.79,59.0,67,75,13.42,broken clouds
50,Nueve De Julio,AR,-35.44,-60.88,66.0,63,6,3.0,clear sky
51,Hailar,CN,49.2,119.7,65.41,50,100,5.91,overcast clouds
52,Ajdabiya,LY,30.76,20.23,72.32,48,0,21.65,clear sky
53,Te Anau,NZ,-45.42,167.72,42.78,85,91,0.94,overcast clouds
54,Nokaneng,BW,-19.67,22.27,76.14,16,0,5.41,clear sky
55,Scarborough,GB,54.28,-0.4,72.0,62,34,3.0,scattered clouds
56,Coihaique,CL,-45.58,-72.07,37.4,93,75,2.24,broken clouds
57,Linhares,BR,-19.39,-40.07,76.3,48,0,6.69,clear sky
58,Ketchikan,US,55.34,-131.65,51.8,93,90,16.11,moderate rain
59,Zyryanka,RU,65.75,150.85,47.86,51,76,17.94,broken clouds
60,Hermanus,ZA,-34.42,19.23,57.0,94,100,8.99,light rain
61,Abu Zabad,SD,12.35,29.25,101.98,8,21,3.65,few clouds
62,Nizhniy Chir,RU,48.36,43.09,74.07,61,0,12.75,clear sky
63,Carnarvon,AU,-24.87,113.63,66.87,46,0,11.03,clear sky
64,Puerto Ayora,EC,-0.74,-90.35,77.0,78,40,4.7,scattered clouds
65,Saint Anthony,US,45.02,-93.22,68.0,52,90,6.93,overcast clouds
66,Butaritari,KI,3.07,172.79,82.22,80,0,10.92,clear sky
