City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (Inches),Snow (Inches)
0,Praia,CV,14.92,-23.51,87.8,40,0,17.22,clear sky,0.0,0.0
1,Cape Town,ZA,-33.93,18.42,60.01,100,75,13.87,light rain,0.51,0.0
2,Busselton,AU,-33.65,115.33,62.01,73,25,18.66,scattered clouds,0.0,0.0
3,Rikitea,PF,-23.12,-134.97,76.53,85,75,10.04,light rain,0.42,0.0
4,Atuona,PF,-9.8,-139.03,80.47,71,6,11.12,clear sky,0.0,0.0
5,Saint George,US,37.1,-113.58,84.99,21,1,4.7,clear sky,0.0,0.0
6,Tiksi,RU,71.69,128.87,24.57,95,41,3.76,scattered clouds,0.0,0.0
7,Geraldton,AU,-28.77,114.6,60.8,72,90,8.05,overcast clouds,0.0,0.0
8,Kamphaeng Phet,TH,16.48,99.52,90.0,80,76,4.74,broken clouds,0.0,0.0
9,Severnyy-Kospashskiy,RU,59.09,57.8,53.83,73,16,6.4,few clouds,0.0,0.0
10,Arraial Do Cabo,BR,-22.97,-42.03,73.4,64,75,11.41,broken clouds,0.0,0.0
11,Sivaki,RU,52.63,126.75,58.39,64,97,10.71,overcast clouds,0.0,0.0
12,Tuktoyaktuk,CA,69.45,-133.04,37.4,74,20,9.17,few clouds,0.0,0.0
13,Mahina,PF,-17.51,-149.49,77.0,83,0,3.36,clear sky,0.0,0.0
14,Marsh Harbour,BS,26.54,-77.06,79.12,80,100,11.99,overcast clouds,0.0,0.0
15,Meulaboh,ID,4.14,96.13,80.71,83,99,3.42,overcast clouds,0.0,0.0
16,Puerto Ayora,EC,-0.74,-90.35,78.01,78,40,4.7,scattered clouds,0.0,0.0
17,Puerto Escondido,MX,15.85,-97.07,84.2,89,20,5.59,few clouds,0.0,0.0
18,Sobolevo,RU,54.43,31.9,61.16,81,100,4.5,light rain,0.4,0.0
19,New Norfolk,AU,-42.78,147.06,53.01,82,95,1.01,overcast clouds,0.0,0.0
20,Ushuaia,AR,-54.8,-68.3,39.2,69,97,9.17,overcast clouds,0.0,0.0
21,Punta Arenas,CL,-53.15,-70.92,37.4,69,99,9.17,overcast clouds,0.0,0.0
22,Tres Passos,BR,-27.46,-53.93,68.0,71,0,3.0,clear sky,0.0,0.0
23,Tezu,IN,27.92,96.17,70.72,77,86,4.43,overcast clouds,0.0,0.0
24,Mataura,NZ,-46.19,168.86,41.83,94,59,2.98,broken clouds,0.0,0.0
25,Yellowknife,CA,62.46,-114.35,39.2,51,20,8.05,few clouds,0.0,0.0
26,Cidreira,BR,-30.18,-50.21,66.4,48,0,4.34,clear sky,0.0,0.0
27,Peniche,PT,39.36,-9.38,84.99,69,0,8.99,clear sky,0.0,0.0
28,Kurchum,KZ,48.57,83.65,55.15,60,0,7.45,clear sky,0.0,0.0
29,Potiskum,NG,11.71,11.07,103.75,12,90,7.61,overcast clouds,0.0,0.0
30,Bellmead,US,31.59,-97.11,73.99,83,40,3.36,scattered clouds,0.0,0.0
31,Bam,IR,29.11,58.36,88.29,12,0,15.32,clear sky,0.0,0.0
32,Hilo,US,19.73,-155.09,73.4,78,75,3.36,broken clouds,0.0,0.0
33,Suntar,RU,62.14,117.63,34.21,86,78,4.23,broken clouds,0.0,0.0
34,Cururupu,BR,-1.83,-44.87,89.42,54,98,6.73,overcast clouds,0.0,0.0
35,Kaseda,JP,31.42,130.32,68.45,70,32,6.44,scattered clouds,0.0,0.0
36,Sfantu Gheorghe,RO,45.87,25.78,55.99,79,91,3.0,light rain,0.99,0.0
37,Deputatskiy,RU,69.3,139.9,29.64,98,100,6.64,overcast clouds,0.0,0.0
38,Kapaa,US,22.08,-159.32,73.4,88,20,10.29,few clouds,0.0,0.0
39,Qaanaaq,GL,77.48,-69.36,31.8,92,93,4.27,overcast clouds,0.0,0.0
40,Saint-Philippe,RE,-21.36,55.77,71.6,78,49,4.7,scattered clouds,0.0,0.0
41,Muli,MV,2.92,73.57,84.25,76,100,14.65,moderate rain,1.08,0.0
42,Grimshaw,CA,56.18,-117.6,51.01,76,20,2.24,few clouds,0.0,0.0
43,Nioro,GM,13.35,-15.75,109.83,15,7,1.3,clear sky,0.0,0.0
44,Hualmay,PE,-11.1,-77.61,70.97,67,20,6.8,few clouds,0.0,0.0
45,Hermanus,ZA,-34.42,19.23,57.0,95,100,8.99,light rain,0.18,0.0
46,Mandan,US,46.83,-100.89,64.4,48,1,28.86,clear sky,0.0,0.0
47,Simao,CN,22.79,100.97,62.31,96,52,2.48,broken clouds,0.0,0.0
48,Sovetskiy,RU,61.36,63.58,56.14,58,31,12.57,scattered clouds,0.0,0.0
49,Toropets,RU,56.5,31.64,64.33,61,81,0.67,broken clouds,0.0,0.0
50,Ponta Do Sol,PT,32.67,-17.1,71.01,67,70,11.01,broken clouds,0.0,0.0
51,Woerden,NL,52.08,4.88,66.99,59,3,10.0,clear sky,0.0,0.0
52,Mahebourg,MU,-20.41,57.7,75.2,83,40,12.75,shower rain,0.0,0.0
